"","region","year","total_cases","value1","value2","value3","GEOID","variable","estimate","value"
"1","alabama",2014,624,32,8,1,"01","popluation",355334,0.0512820512820513
"2","alabama",2016,135,10,4,0,"01","popluation",355334,0.0740740740740741
"3","alabama",1975,1762,77,8,4,"01","popluation",355334,0.0437003405221339
"4","alabama",1977,1173,32,1,1,"01","popluation",355334,0.0272804774083546
"5","alabama",2015,1129,33,8,4,"01","popluation",355334,0.029229406554473
"6","alabama",1976,1429,47,0,1,"01","popluation",355334,0.032890132960112
"7","alabama",1982,1241,40,0,0,"01","popluation",355334,0.032232070910556
"8","alabama",1983,1474,54,1,0,"01","popluation",355334,0.0366350067842605
"9","alabama",1978,1143,42,1,2,"01","popluation",355334,0.036745406824147
"10","alabama",1974,1527,55,9,4,"01","popluation",355334,0.0360183366077276
"11","alabama",1985,1441,63,4,0,"01","popluation",355334,0.0437196391394865
"12","alabama",1986,1494,83,2,0,"01","popluation",355334,0.0555555555555556
"13","alabama",2013,501,52,7,1,"01","popluation",355334,0.103792415169661
"14","alabama",1973,890,24,0,0,"01","popluation",355334,0.0269662921348315
"15","alabama",1988,1338,57,4,0,"01","popluation",355334,0.0426008968609865
"16","alabama",1989,1464,85,6,0,"01","popluation",355334,0.0580601092896175
"17","alabama",1990,1565,79,6,0,"01","popluation",355334,0.0504792332268371
"18","alabama",1991,1873,97,3,0,"01","popluation",355334,0.0517885744794447
"19","alabama",1979,1331,41,1,1,"01","popluation",355334,0.0308039068369647
"20","alabama",1980,1244,39,3,0,"01","popluation",355334,0.0313504823151125
"21","alabama",1981,1547,38,0,0,"01","popluation",355334,0.0245636716224952
"22","alabama",1984,1448,74,2,0,"01","popluation",355334,0.0511049723756906
"23","alabama",1995,1294,64,5,0,"01","popluation",355334,0.0494590417310665
"24","alabama",2009,735,52,7,2,"01","popluation",355334,0.0707482993197279
"25","alabama",2010,677,57,3,1,"01","popluation",355334,0.0841949778434269
"26","alabama",2011,595,50,9,3,"01","popluation",355334,0.0840336134453782
"27","alabama",1987,1417,53,3,0,"01","popluation",355334,0.0374029640084686
"28","alabama",2001,1017,56,11,2,"01","popluation",355334,0.0550639134709931
"29","alabama",2002,880,52,6,2,"01","popluation",355334,0.0590909090909091
"30","alabama",1994,1305,84,2,1,"01","popluation",355334,0.064367816091954
